,Provider,Region,User demand,Session crashes,QoE
0,Google Cloud CDN,North America,2 to 256,14,4.75
1,Google Cloud CDN,North America,512,34,4.11
2,Google Cloud CDN,North America,1024,72,4.24
3,Amazon CloudFront,North America,2 to 256,2,4.91
4,Amazon CloudFront,North America,512,5,4.86
5,Amazon CloudFront,North America,1024,5,4.88
6,Azure Akamai CDN,North America,2 to 256,109,4.96
7,Azure Akamai CDN,North America,512,0,3.10
8,Azure Akamai CDN,North America,1024,176,1.96
9,Azure Verizon CDN,North America,2 to 256,1,4.93
10,Azure Verizon CDN,North America,512,2,4.91
11,Azure Verizon CDN,North America,1024,14,4.83
12,Google Cloud CDN,Europe,2 to 256,36,4.277
13,Google Cloud CDN,Europe,512,4,2.557
14,Google Cloud CDN,Europe,1024,3,2.629
15,Amazon CloudFront,Europe,2 to 256,16,4.294
16,Amazon CloudFront,Europe,512,32,2.614
17,Amazon CloudFront,Europe,1024,15,2.622
18,Azure Akamai CDN,Europe,2 to 256,26,4.276
19,Azure Akamai CDN,Europe,512,3,1.927
20,Azure Akamai CDN,Europe,1024,3,2.513
21,Azure Verizon CDN,Europe,2 to 256,0,4.96
22,Azure Verizon CDN,Europe,512,0,4.905
23,Azure Verizon CDN,Europe,1024,3,4.728
24,Google Cloud CDN,Asia,2 to 256,0,4.923
25,Google Cloud CDN,Asia,512,0,4.933
26,Google Cloud CDN,Asia,1024,1,4.236
27,Amazon CloudFront,Asia,2 to 256,0,4.96
28,Amazon CloudFront,Asia,512,0,4.955
29,Amazon CloudFront,Asia,1024,1,3.93
30,Azure Akamai CDN,Asia,2 to 256,350,2.61
31,Azure Akamai CDN,Asia,512,367,2.55
32,Azure Akamai CDN,Asia,1024,73,2.64
33,Azure Verizon CDN,Asia,2 to 256,0,4.97
34,Azure Verizon CDN,Asia,512,0,4.96
35,Azure Verizon CDN,Asia,1024,125,3.07